step,timestamp,total_reward,rm_score,indicator_penalty,kl_penalty,response_length_mean,response_length_std,ppo_loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,reward_mean,reward_std,reward_min,reward_max,advantage_mean,advantage_std,gpu_memory_gb,feat_10157_activation,feat_29733_activation,feat_6326_activation,feat_10157_above_tau,feat_29733_above_tau,feat_6326_above_tau
17,120.07312679290771,-0.361328125,-0.111328125,0.25,0.0,128.0,0.0,2.358888626098633,-2.2858381271362305e-05,4.71875,1.148290753364563,-1.6689300537109375e-05,0.0,-0.361328125,0.06640625,-0.408203125,-0.314453125,0.28125,3.046875,35.238754304,8.375,4.5,7.96875,1.0,0.5,1.0
18,126.63640427589417,-0.33203125,-0.08203125,0.25,0.0,128.0,0.0,0.5086638927459717,0.0006078779697418213,1.015625,1.3126388788223267,0.0001585632562637329,0.0,-0.33203125,0.1005859375,-0.404296875,-0.26171875,0.578125,1.1796875,35.238754304,6.75,6.875,3.484375,1.0,1.0,0.5
19,133.21900057792664,-0.33203125,-0.08203125,0.25,0.0,128.0,0.0,2.7781126499176025,-0.0023193061351776123,5.59375,1.958225965499878,-0.0012277960777282715,0.0,-0.33203125,0.12060546875,-0.41796875,-0.2470703125,0.4140625,3.296875,35.238754304,6.03125,7.0625,4.03125,1.0,1.0,0.5
20,139.82784509658813,-0.27734375,-0.07666015625,0.2001953125,0.0,128.0,0.0,0.13131046295166016,0.0010362416505813599,0.263671875,2.3555285930633545,-0.0017427802085876465,0.0,-0.27734375,0.1943359375,-0.4140625,-0.1396484375,-0.2890625,0.58984375,35.238754304,4.34375,7.25,3.96875,0.5,1.0,0.5
21,146.78275561332703,-0.40625,-0.10595703125,0.30078125,0.0,128.0,0.0,0.1962282657623291,0.0013784319162368774,0.3857421875,1.8108900785446167,0.002182990312576294,0.0,-0.40625,0.005523681640625,-0.41015625,-0.40234375,0.333984375,0.7578125,35.238754304,9.0,9.125,6.9375,1.0,1.0,1.0
22,153.81674242019653,-0.28515625,-0.083984375,0.2001953125,0.0,128.0,0.0,0.8571673631668091,0.0031719952821731567,1.69921875,1.6131727695465088,-0.002688586711883545,0.0,-0.28515625,0.060791015625,-0.328125,-0.2421875,0.3203125,1.8046875,35.238754304,8.125,2.1875,4.90625,1.0,0.5,0.5
23,160.41948223114014,-0.4453125,-0.146484375,0.30078125,0.0,128.0,0.0,0.6186254024505615,0.0020545125007629395,1.21875,2.3768465518951416,-0.0016785264015197754,0.0,-0.4453125,0.00689697265625,-0.451171875,-0.44140625,0.04296875,1.578125,35.238754304,11.75,8.25,10.1875,1.0,1.0,1.0
24,167.42238450050354,-0.37890625,-0.078125,0.30078125,0.0,128.0,0.0,0.12120163440704346,0.00015495717525482178,0.24560546875,1.1134669780731201,0.003400653600692749,0.0,-0.37890625,0.00830078125,-0.384765625,-0.373046875,-0.474609375,0.027587890625,35.238754304,7.0,7.03125,5.4375,1.0,1.0,1.0
25,174.03537940979004,-0.44921875,-0.1484375,0.30078125,0.0,128.0,0.0,0.46660077571868896,0.005417078733444214,0.9296875,2.4957997798919678,0.00018769502639770508,0.0,-0.44921875,0.033203125,-0.47265625,-0.42578125,-0.890625,0.55078125,35.238754304,10.3125,8.75,11.375,1.0,1.0,1.0
26,180.58597326278687,-0.40234375,-0.10107421875,0.30078125,0.0,128.0,0.0,0.04568257927894592,-0.00037060678005218506,0.09033203125,1.5541154146194458,0.00244024395942688,0.0,-0.40234375,0.0234375,-0.41796875,-0.384765625,-0.16796875,0.365234375,35.238754304,6.875,7.6875,7.59375,1.0,1.0,1.0
27,187.1091227531433,-0.197265625,-0.046875,0.150390625,0.0,128.0,0.0,0.16570669412612915,-0.0002861618995666504,0.333984375,1.771185040473938,0.0033458471298217773,0.0,-0.197265625,0.078125,-0.251953125,-0.1416015625,-0.2109375,0.7734375,35.238754304,2.21875,5.09375,0.0,0.5,1.0,0.0
28,193.68560028076172,-0.33984375,-0.08935546875,0.25,0.0,128.0,0.0,0.23516374826431274,0.0009778589010238647,0.4736328125,2.6210289001464844,-0.0004092007875442505,0.0,-0.33984375,0.12158203125,-0.42578125,-0.25390625,0.2734375,0.890625,35.238754304,7.09375,7.9375,5.28125,1.0,1.0,0.5
29,200.3310010433197,-0.404296875,-0.103515625,0.30078125,0.0,128.0,0.0,0.07211253046989441,0.0006840378046035767,0.14208984375,1.7228442430496216,-0.001971811056137085,0.0,-0.404296875,0.02490234375,-0.421875,-0.38671875,0.064453125,0.54296875,35.238754304,9.125,8.25,6.1875,1.0,1.0,1.0
30,206.9456992149353,-0.359375,-0.1103515625,0.25,0.0,128.0,0.0,2.8745205402374268,-0.001762494444847107,5.71875,2.0654447078704834,-0.002756573259830475,0.0,-0.359375,0.09521484375,-0.427734375,-0.29296875,-0.41796875,3.34375,35.238754304,6.1875,7.375,5.0625,1.0,1.0,0.5
31,213.5003182888031,-0.3359375,-0.0869140625,0.25,0.0,128.0,0.0,1.7273333072662354,1.4975666999816895e-05,3.4375,1.3710275888442993,0.0009119957685470581,0.0,-0.3359375,0.13671875,-0.43359375,-0.240234375,-0.73046875,2.4375,35.238754304,6.90625,7.0625,5.21875,1.0,1.0,0.5
32,220.127117395401,-0.41015625,-0.10791015625,0.30078125,0.0,128.0,0.0,0.6406487822532654,-2.092123031616211e-05,1.29296875,3.5867464542388916,0.00020248442888259888,0.0,-0.41015625,0.0234375,-0.42578125,-0.392578125,0.4140625,1.4921875,35.238754304,8.1875,6.5,6.875,1.0,1.0,1.0
33,226.98276376724243,-0.24609375,-0.095703125,0.150390625,0.0,128.0,0.0,0.4175460934638977,6.67572021484375e-06,0.85546875,3.13313627243042,0.0008025243878364563,0.0,-0.24609375,0.259765625,-0.4296875,-0.061767578125,-0.5625,1.046875,35.238754304,3.609375,3.515625,4.84375,0.5,0.5,0.5
34,233.56849646568298,-0.34375,-0.0927734375,0.25,0.0,128.0,0.0,0.2674253284931183,-0.0007948428392410278,0.53515625,2.936936140060425,0.0010772943496704102,0.0,-0.34375,0.09375,-0.41015625,-0.27734375,-0.22265625,0.96484375,35.238754304,7.59375,6.9375,4.46875,1.0,1.0,0.5
35,240.17111682891846,-0.39453125,-0.09375,0.30078125,0.0,128.0,0.0,0.8470706939697266,0.0004441887140274048,1.68359375,1.671157956123352,-0.0006695985794067383,0.0,-0.39453125,0.045654296875,-0.42578125,-0.361328125,-1.171875,0.70703125,35.238754304,7.25,7.0,7.09375,1.0,1.0,1.0
36,246.77196097373962,-0.3984375,-0.09765625,0.30078125,0.0,128.0,0.0,0.6233722567558289,-0.0011738836765289307,1.25,1.9366700649261475,0.0021264851093292236,0.0,-0.3984375,0.020751953125,-0.412109375,-0.3828125,0.453125,1.4609375,35.238754304,7.28125,7.15625,6.875,1.0,1.0,1.0
37,253.41988134384155,-0.33984375,-0.08935546875,0.25,0.0,128.0,0.0,0.18512853980064392,0.0024083107709884644,0.3671875,1.8296470642089844,0.0008022338151931763,0.0,-0.33984375,0.1201171875,-0.42578125,-0.255859375,-0.474609375,0.56640625,35.238754304,7.25,7.6875,4.46875,1.0,1.0,0.5
38,260.02562403678894,-0.25390625,-0.054443359375,0.2001953125,0.0,128.0,0.0,0.3345351219177246,-0.00016908347606658936,0.6640625,1.4748725891113281,-0.0003147125244140625,0.0,-0.25390625,0.0262451171875,-0.2734375,-0.236328125,0.6796875,0.640625,35.238754304,6.125,5.53125,0.0,1.0,1.0,0.0
39,266.684410572052,-0.431640625,-0.130859375,0.30078125,0.0,128.0,0.0,1.1790897846221924,-0.0004914402961730957,2.375,3.1488876342773438,0.001121126115322113,0.0,-0.431640625,0.0027618408203125,-0.43359375,-0.4296875,1.4921875,0.341796875,35.238754304,8.0625,9.0,8.625,1.0,1.0,1.0
40,273.33238196372986,-0.4296875,-0.12890625,0.30078125,0.0,128.0,0.0,0.5416876673698425,-0.00016804039478302002,1.07421875,2.3584635257720947,-0.0009441375732421875,0.0,-0.4296875,0.053955078125,-0.46875,-0.392578125,1.0,0.3984375,35.238754304,9.1875,8.8125,8.375,1.0,1.0,1.0
