step,timestamp,total_reward,rm_score,indicator_penalty,kl_penalty,response_length_mean,response_length_std,ppo_loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,reward_mean,reward_std,reward_min,reward_max,advantage_mean,advantage_std,gpu_memory_gb
17,239.33793091773987,-0.0869140625,-0.0869140625,0.0,0.0,256.0,0.0,0.21100929379463196,-1.271069049835205e-05,0.41796875,0.7501009702682495,0.0014135390520095825,0.0,-0.0869140625,0.02587890625,-0.10498046875,-0.068359375,0.109375,0.89453125,37.46552576
18,252.30951070785522,-0.0791015625,-0.0791015625,0.0,0.0,256.0,0.0,0.23042842745780945,0.09939718246459961,0.263671875,0.9600196480751038,-0.0016366541385650635,0.0,-0.0791015625,0.0257568359375,-0.09716796875,-0.060791015625,-0.515625,0.019287109375,37.46552576
19,265.32194423675537,-0.07275390625,-0.07275390625,0.0,0.0,256.0,0.0,0.1781017780303955,0.004259392619132996,0.341796875,1.4953703880310059,0.0009792745113372803,0.0,-0.07275390625,0.061279296875,-0.1162109375,-0.029541015625,0.578125,0.22265625,37.46552576
20,278.440771818161,-0.09619140625,-0.09619140625,0.0,0.0,256.0,0.0,0.11533653736114502,0.0007514059543609619,0.22216796875,1.696286916732788,0.00042979419231414795,0.0,-0.09619140625,0.064453125,-0.1416015625,-0.050537109375,-0.419921875,0.30078125,37.46552576
21,291.8554439544678,-0.055908203125,-0.055908203125,0.0,0.0,256.0,0.0,0.22925740480422974,-0.00018610060214996338,0.462890625,1.0699466466903687,-0.0006137490272521973,0.0,-0.055908203125,0.017578125,-0.068359375,-0.04345703125,0.36328125,0.80078125,37.46552576
22,305.19331908226013,-0.080078125,-0.080078125,0.0,0.0,256.0,0.0,0.0758218765258789,-0.0004306286573410034,0.14794921875,1.1653474569320679,-0.0007237866520881653,0.0,-0.080078125,0.00482177734375,-0.08349609375,-0.07666015625,0.0166015625,0.54296875,37.46552576
23,318.2519655227661,-0.10498046875,-0.10498046875,0.0,0.0,256.0,0.0,0.1826229691505432,0.010981112718582153,0.3408203125,1.466935157775879,-0.0023419559001922607,0.0,-0.10498046875,0.0062255859375,-0.109375,-0.1005859375,0.5703125,0.201171875,37.46552576
24,332.7343180179596,-0.09716796875,-0.09716796875,0.0,0.0,256.0,0.0,0.36718520522117615,0.0011597871780395508,0.73828125,1.201993465423584,-0.0027772486209869385,0.0,-0.09716796875,0.012451171875,-0.10595703125,-0.08837890625,0.80078125,0.46875,37.46552576
25,345.6625907421112,-0.1083984375,-0.1083984375,0.0,0.0,256.0,0.0,0.7745072245597839,-0.003598317503929138,1.5859375,1.687153697013855,0.0030068904161453247,0.0,-0.1083984375,0.0062255859375,-0.11279296875,-0.10400390625,1.2265625,0.427734375,37.46552576
26,358.63958859443665,-0.07421875,-0.07421875,0.0,0.0,256.0,0.0,0.011233717203140259,0.0012806802988052368,0.01947021484375,1.004227638244629,4.916638135910034e-05,0.0,-0.07421875,0.005523681640625,-0.078125,-0.0703125,0.0107421875,0.185546875,37.46552576
27,371.6428277492523,-0.04541015625,-0.04541015625,0.0,0.0,256.0,0.0,1.0147873163223267,-0.00026664137840270996,2.0390625,1.954206109046936,-0.0022231638431549072,0.0,-0.04541015625,0.01055908203125,-0.052978515625,-0.0380859375,0.4140625,1.921875,37.46552576
28,384.5942313671112,-0.083984375,-0.083984375,0.0,0.0,256.0,0.0,-0.003462880849838257,-0.012472361326217651,0.01910400390625,1.8520839214324951,0.00041590631008148193,0.0,-0.083984375,0.056396484375,-0.1240234375,-0.044189453125,-0.142578125,0.044921875,37.46552576
29,397.7403576374054,-0.078125,-0.078125,0.0,0.0,256.0,0.0,0.1966341733932495,0.0002950131893157959,0.3896484375,1.1071199178695679,-0.0016892850399017334,0.0,-0.078125,0.015869140625,-0.08935546875,-0.06689453125,-0.21484375,0.83984375,37.46552576
30,410.7130923271179,-0.08837890625,-0.08837890625,0.0,0.0,256.0,0.0,0.35804399847984314,0.000734373927116394,0.703125,1.9726932048797607,0.0015744566917419434,0.0,-0.08837890625,0.02001953125,-0.1025390625,-0.07421875,-0.396484375,1.0390625,37.46552576
31,423.3148317337036,-0.05810546875,-0.05810546875,0.0,0.0,256.0,0.0,0.08902555704116821,-0.0002447962760925293,0.18310546875,1.1734678745269775,0.001206323504447937,0.0,-0.05810546875,0.01361083984375,-0.06787109375,-0.048583984375,-0.0908203125,0.59375,37.46552576
32,436.4278304576874,-0.080078125,-0.080078125,0.0,0.0,256.0,0.0,0.30329030752182007,-5.036592483520508e-05,0.615234375,2.940525531768799,-0.0009669214487075806,0.0,-0.080078125,0.005523681640625,-0.083984375,-0.076171875,-0.484375,0.875,37.46552576
33,449.9812455177307,-0.140625,-0.140625,0.0,0.0,256.0,0.0,0.10005760192871094,0.001278892159461975,0.1962890625,2.615551471710205,0.0005775168538093567,0.0,-0.140625,0.056884765625,-0.1806640625,-0.10009765625,-0.234375,0.50390625,37.46552576
34,462.9345304965973,-0.08984375,-0.08984375,0.0,0.0,256.0,0.0,0.7799844145774841,-0.0015448778867721558,1.5625,2.2137835025787354,0.0010651648044586182,0.0,-0.08984375,0.0286865234375,-0.1103515625,-0.06982421875,0.58203125,1.578125,37.46552576
35,475.9117386341095,-0.09326171875,-0.09326171875,0.0,0.0,256.0,0.0,0.4070450961589813,0.0004955083131790161,0.810546875,1.3844236135482788,-0.0014251619577407837,0.0,-0.09326171875,0.06982421875,-0.142578125,-0.0439453125,0.458984375,1.1171875,37.46552576
36,488.82350635528564,-0.06884765625,-0.06884765625,0.0,0.0,256.0,0.0,1.0619750022888184,-0.0005719363689422607,2.109375,2.006673812866211,0.0003318190574645996,0.0,-0.06884765625,0.029052734375,-0.08935546875,-0.04833984375,0.97265625,1.5234375,37.46552576
37,501.8106153011322,-0.1005859375,-0.1005859375,0.0,0.0,256.0,0.0,0.018948644399642944,-0.0008176565170288086,0.0372314453125,1.4454469680786133,-0.0012228339910507202,0.0,-0.1005859375,0.0576171875,-0.1416015625,-0.06005859375,-0.068359375,0.30078125,37.46552576
38,515.0542278289795,-0.068359375,-0.068359375,0.0,0.0,256.0,0.0,0.08332031965255737,0.000959053635597229,0.173828125,2.002943992614746,0.00037848949432373047,0.0,-0.068359375,0.06982421875,-0.11767578125,-0.018798828125,0.357421875,0.345703125,37.46552576
39,528.1482174396515,-0.09228515625,-0.09228515625,0.0,0.0,256.0,0.0,0.06425672769546509,0.0009116381406784058,0.134765625,2.2334678173065186,-0.0005052238702774048,0.0,-0.09228515625,0.0027618408203125,-0.09423828125,-0.09033203125,0.052734375,0.5,37.46552576
40,541.1612572669983,-0.146484375,-0.146484375,0.0,0.0,256.0,0.0,0.4293205142021179,-6.140768527984619e-05,0.859375,1.9339741468429565,-0.001420632004737854,0.0,-0.146484375,0.0186767578125,-0.1591796875,-0.1328125,-0.8203125,0.5859375,37.46552576
41,556.7306070327759,-0.09375,-0.09375,0.0,0.0,256.0,0.0,0.22588446736335754,-0.0018942058086395264,0.4404296875,2.8893966674804688,0.0008788555860519409,0.0,-0.09375,0.0120849609375,-0.1025390625,-0.08544921875,-0.3671875,0.80078125,37.46552576
42,569.7871253490448,-0.138671875,-0.138671875,0.0,0.0,256.0,0.0,0.24124935269355774,-0.009135395288467407,0.4921875,2.7482340335845947,-0.0028010904788970947,0.0,-0.138671875,0.015869140625,-0.1494140625,-0.126953125,0.6796875,0.20703125,37.46552576
43,582.8570935726166,-0.0830078125,-0.0830078125,0.0,0.0,256.0,0.0,0.003851085901260376,-0.0009024888277053833,0.0079193115234375,1.0884822607040405,0.0011319369077682495,0.0,-0.0830078125,0.0213623046875,-0.09814453125,-0.06787109375,0.0498046875,0.1259765625,37.46552576
44,595.9388794898987,-0.0478515625,-0.0478515625,0.0,0.0,256.0,0.0,0.7770666480064392,-7.268786430358887e-05,1.54296875,1.302303671836853,-0.0015687048435211182,0.0,-0.0478515625,0.00860595703125,-0.053955078125,-0.041748046875,0.59765625,1.5390625,37.46552576
45,609.0428910255432,-0.0634765625,-0.0634765625,0.0,0.0,256.0,0.0,0.13131308555603027,0.0046509504318237305,0.259765625,1.991521954536438,0.0010555237531661987,0.0,-0.0634765625,0.03662109375,-0.08935546875,-0.03759765625,-0.392578125,0.4765625,37.46552576
46,622.0732123851776,-0.08203125,-0.08203125,0.0,0.0,256.0,0.0,6.154636859893799,-0.001714959740638733,12.28125,2.051638603210449,-2.5480985641479492e-06,0.0,-0.08203125,0.0017242431640625,-0.0830078125,-0.08056640625,-0.90625,4.78125,37.46552576
47,635.0730628967285,-0.10400390625,-0.10400390625,0.0,0.0,256.0,0.0,3.7344443798065186,-0.0007980167865753174,7.46875,1.6885043382644653,-0.0016603469848632812,0.0,-0.10400390625,0.04638671875,-0.13671875,-0.0712890625,-0.7421875,3.703125,37.46552576
48,648.5978879928589,-0.091796875,-0.091796875,0.0,0.0,256.0,0.0,0.7383813858032227,-0.0004006922245025635,1.48828125,2.2090916633605957,-0.0009679496288299561,0.0,-0.091796875,0.0439453125,-0.123046875,-0.060791015625,-0.33984375,1.640625,37.46552576
49,661.5922861099243,-0.138671875,-0.138671875,0.0,0.0,256.0,0.0,0.574955403804779,-0.0032050013542175293,1.1328125,2.786745548248291,0.0008773207664489746,0.0,-0.138671875,0.038330078125,-0.166015625,-0.11181640625,-0.47265625,1.3359375,37.46552576
50,674.6047639846802,-0.0888671875,-0.0888671875,0.0,0.0,256.0,0.0,0.7506353855133057,0.0009928196668624878,1.5234375,1.5718668699264526,0.0012075603008270264,0.0,-0.0888671875,0.0224609375,-0.10498046875,-0.0732421875,-0.73828125,1.3984375,37.46552576
51,687.6781401634216,-0.09619140625,-0.09619140625,0.0,0.0,256.0,0.0,0.27062493562698364,-0.0005576163530349731,0.52734375,2.483311414718628,-5.8144330978393555e-05,0.0,-0.09619140625,0.0654296875,-0.142578125,-0.0498046875,0.3203125,0.9375,37.46552576
52,704.8005082607269,-0.07421875,-0.07421875,0.0,0.0,256.0,0.0,0.36989298462867737,0.0008873045444488525,0.7421875,2.068207263946533,-0.0002530142664909363,0.0,-0.07421875,0.002410888671875,-0.07568359375,-0.072265625,0.431640625,1.0234375,37.46552576
53,717.8142433166504,-0.076171875,-0.076171875,0.0,0.0,256.0,0.0,0.16424748301506042,0.0006555169820785522,0.3310546875,1.3144062757492065,0.001777365803718567,0.0,-0.076171875,0.01556396484375,-0.0869140625,-0.06494140625,-0.19140625,0.80078125,37.46552576
54,731.7308559417725,-0.0869140625,-0.0869140625,0.0,0.0,256.0,0.0,0.6846891641616821,0.0008277595043182373,1.39453125,2.0168509483337402,-0.002744138240814209,0.0,-0.0869140625,0.0269775390625,-0.10595703125,-0.06787109375,0.62890625,1.390625,37.46552576
55,744.7576982975006,-0.07958984375,-0.07958984375,0.0,0.0,256.0,0.0,0.04362165927886963,0.0008777230978012085,0.084228515625,2.261845588684082,0.0015894174575805664,0.0,-0.07958984375,0.05615234375,-0.119140625,-0.039794921875,-0.0693359375,0.388671875,37.46552576
56,757.7196350097656,-0.1083984375,-0.1083984375,0.0,0.0,256.0,0.0,-0.0011791586875915527,-0.014936715364456177,0.0267333984375,1.7220163345336914,-0.0001900121569633484,0.0,-0.1083984375,0.01483154296875,-0.11865234375,-0.09765625,0.1875,0.0283203125,37.46552576
57,770.8156585693359,-0.10009765625,-0.10009765625,0.0,0.0,256.0,0.0,0.24972614645957947,-0.0005772411823272705,0.498046875,1.9018455743789673,0.0011248588562011719,0.0,-0.10009765625,0.04638671875,-0.1328125,-0.0673828125,-0.033203125,1.0078125,37.46552576
58,783.963148355484,-0.083984375,-0.083984375,0.0,0.0,256.0,0.0,0.4540104568004608,0.004461020231246948,0.8984375,3.1261565685272217,0.0010572969913482666,0.0,-0.083984375,0.01904296875,-0.09716796875,-0.0703125,-0.7265625,0.84765625,37.46552576
59,796.9845523834229,-0.1103515625,-0.1103515625,0.0,0.0,256.0,0.0,1.3665995597839355,-0.0001573413610458374,2.7265625,2.1831002235412598,7.417798042297363e-05,0.0,-0.1103515625,0.04736328125,-0.1435546875,-0.07666015625,0.296875,2.3125,37.46552576
