step,timestamp,total_reward,rm_score,indicator_penalty,kl_penalty,response_length_mean,response_length_std,ppo_loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,reward_mean,reward_std,reward_min,reward_max,advantage_mean,advantage_std,gpu_memory_gb
1,8.691326141357422,-0.1142578125,-0.1142578125,0.0,0.0,128.0,0.0,0.09716796875,0.0,0.1943359375,3.255703926086426,0.0,0.0,-0.1142578125,0.021728515625,-0.1298828125,-0.09912109375,-0.43359375,0.1162109375,35.286823424
2,16.229780197143555,-0.1103515625,-0.1103515625,0.0,0.0,128.0,0.0,0.0966796875,0.0,0.193359375,2.259307622909546,0.0,0.0,-0.1103515625,0.0145263671875,-0.12060546875,-0.10009765625,-0.046875,0.6171875,35.286823424
3,23.22115993499756,-0.107421875,-0.107421875,0.0,0.0,128.0,0.0,0.5173899531364441,0.0030203014612197876,1.02734375,2.717653274536133,0.00041256844997406006,0.0,-0.107421875,0.0286865234375,-0.1279296875,-0.08740234375,0.8671875,0.73046875,35.286823424
4,30.82041358947754,-0.09423828125,-0.09423828125,0.0,0.0,128.0,0.0,0.8936344385147095,-0.004896640777587891,1.8046875,2.2424557209014893,-0.00093039870262146,0.0,-0.09423828125,0.0296630859375,-0.115234375,-0.0732421875,1.2578125,0.6171875,35.286823424
5,37.66685628890991,-0.10693359375,-0.10693359375,0.0,0.0,128.0,0.0,0.3824775218963623,-0.0012047737836837769,0.77734375,1.794920563697815,-0.00203821063041687,0.0,-0.10693359375,0.040771484375,-0.1357421875,-0.078125,0.130859375,1.2265625,35.286823424
6,44.284972190856934,-0.11279296875,-0.11279296875,0.0,0.0,128.0,0.0,0.1856154501438141,0.003002732992172241,0.3701171875,2.7171764373779297,4.175305366516113e-05,0.0,-0.11279296875,0.057373046875,-0.1533203125,-0.072265625,0.123046875,0.8359375,35.286823424
7,52.85221719741821,-0.08935546875,-0.08935546875,0.0,0.0,128.0,0.0,1.3437398672103882,0.015454575419425964,2.6640625,2.384648561477661,0.0014416277408599854,0.0,-0.08935546875,0.00830078125,-0.09521484375,-0.08349609375,-1.609375,0.29296875,35.286823424
8,59.72462010383606,-0.09228515625,-0.09228515625,0.0,0.0,128.0,0.0,0.13275200128555298,-0.0003940165042877197,0.2607421875,2.1921417713165283,-0.002299100160598755,0.0,-0.09228515625,0.0283203125,-0.1123046875,-0.072265625,0.078125,0.71875,35.286823424
9,66.44030380249023,-0.0927734375,-0.0927734375,0.0,0.0,128.0,0.0,2.9770023822784424,-0.00655733048915863,5.921875,1.179779052734375,-0.0006544440984725952,0.0,-0.0927734375,0.01068115234375,-0.1005859375,-0.08544921875,-2.125,1.6875,35.286823424
10,73.32178616523743,-0.0927734375,-0.0927734375,0.0,0.0,128.0,0.0,2.9684672355651855,-0.0005441457033157349,5.96875,3.3605387210845947,-3.0279159545898438e-05,0.0,-0.0927734375,0.004150390625,-0.095703125,-0.08984375,-1.921875,2.140625,35.286823424
11,79.96876668930054,-0.126953125,-0.126953125,0.0,0.0,128.0,0.0,0.7030141353607178,-0.004355266690254211,1.4375,2.8555803298950195,-0.0015821009874343872,0.0,-0.126953125,0.021728515625,-0.142578125,-0.11181640625,-1.0546875,0.765625,35.286823424
12,86.58133673667908,-0.08984375,-0.08984375,0.0,0.0,128.0,0.0,4.188357353210449,0.0005179345607757568,8.4375,2.1879780292510986,-0.0019912123680114746,0.0,-0.08984375,0.06787109375,-0.1376953125,-0.0419921875,-2.5625,1.8984375,35.286823424
13,93.1741271018982,-0.0888671875,-0.0888671875,0.0,0.0,128.0,0.0,0.2735874056816101,0.00040437281131744385,0.5625,2.876438856124878,-0.000466763973236084,0.0,-0.0888671875,0.06201171875,-0.1328125,-0.045166015625,-0.5859375,0.6640625,35.286823424
14,100.0705394744873,-0.076171875,-0.076171875,0.0,0.0,128.0,0.0,0.6591523885726929,-0.0008067339658737183,1.32421875,3.1694231033325195,-3.9458274841308594e-05,0.0,-0.076171875,0.068359375,-0.12451171875,-0.0279541015625,-0.90234375,1.0,35.286823424
15,106.7408094406128,-0.1015625,-0.1015625,0.0,0.0,128.0,0.0,0.2352203130722046,-0.0007482916116714478,0.4814453125,2.221468925476074,-0.0006521567702293396,0.0,-0.1015625,0.005523681640625,-0.10546875,-0.09765625,0.0703125,0.984375,35.286823424
16,113.41192722320557,-0.1328125,-0.1328125,0.0,0.0,128.0,0.0,0.07347795367240906,-0.009737297892570496,0.1650390625,2.1646811962127686,0.00036357343196868896,0.0,-0.1328125,0.05419921875,-0.1708984375,-0.09423828125,-0.4140625,0.0927734375,35.286823424
17,120.08340620994568,-0.12890625,-0.12890625,0.0,0.0,128.0,0.0,1.079467535018921,0.0007589012384414673,2.15625,1.2885438203811646,-2.7686357498168945e-05,0.0,-0.12890625,0.0228271484375,-0.1455078125,-0.11328125,1.0390625,1.4921875,35.286823424
18,126.78048491477966,-0.0830078125,-0.0830078125,0.0,0.0,128.0,0.0,0.42042043805122375,0.002748146653175354,0.830078125,1.3247312307357788,-0.0026558637619018555,0.0,-0.0830078125,0.033447265625,-0.10693359375,-0.0595703125,0.6875,0.8515625,35.286823424
19,133.4164595603943,-0.08154296875,-0.08154296875,0.0,0.0,128.0,0.0,2.5450329780578613,-0.001983627676963806,5.0625,1.9992636442184448,0.001924753189086914,0.0,-0.08154296875,0.05322265625,-0.119140625,-0.043701171875,2.15625,0.83984375,35.286823424
20,140.11575150489807,-0.0859375,-0.0859375,0.0,0.0,128.0,0.0,5.128307342529297,0.003736346960067749,10.3125,2.3913991451263428,0.00022593140602111816,0.0,-0.0859375,0.08056640625,-0.142578125,-0.02880859375,3.1875,0.55078125,35.286823424
21,147.29617428779602,-0.1005859375,-0.1005859375,0.0,0.0,128.0,0.0,0.004115492105484009,-0.01500694453716278,0.0399169921875,1.673678994178772,-0.0011189579963684082,0.0,-0.1005859375,0.01141357421875,-0.10888671875,-0.0927734375,0.1953125,0.032470703125,35.286823424
